,Year,Title_English,Episodes,Popularity,Aired,Aired On,Duration,Genres,Tags,Summary,Title_Korean,Also Known As,Content Rating,Score_Votes,Score,Ranked,Watchers
10,2023,Doona! (2023),9,197,"Oct 20, 2023",Friday,50 min.,"['Romance', 'Youth', 'Drama']","['Idol Female Lead', 'Warm Male Lead', 'Share House Setting', 'Former Celebrity Female Lead', 'Singer Female Lead', 'Student Male Lead', 'Selfish Female Lead', 'Miniseries', 'Naive Male Lead', 'Steamy Kiss']","Du Na, a member of the girl group Dream Sweet, suddenly leaves the group one day and ends up living in the same share house as Won Jun, a college student. Du Na mistakes him for being her sasaeng fan, and Won Jun does not know who she is. They become curious about each other. (Source: Korean = Netflix Korea || Translation = MyDramaList) ~~ Adapted from the webtoon ""The Girl Downstairs"" (이두나!) by Min Song Ah (민송아).",이두나!,"Lee Doo Na! , Lee Du Na! , The Girl Downstairs",15+ - Teens 15 or older,42553,7.7,4975,76602
11,2023,Love to Hate You (2023),10,182,"Feb 10, 2023",Friday,52 min.,"['Comedy', 'Law', 'Romance']","['Badass Female Lead', 'Enemies To Lovers', 'Actor Male Lead', 'Famous Male Lead', 'Entertainment Industry', 'Aggressive Female Lead', 'Social Issues', 'Skilled Fighter', 'Lawyer Female Lead', 'Gender Discrimination']","Yeo Mi Ran works as a novice lawyer at Gilmu Law Firm, a company that primarily serves the entertainment industry. She has no interest in pursuing a romantic relationship and detests losing to men in any competition. Nam Gang Ho, a renowned actor in the entertainment industry, is widely popular in South Korea owing to his good looks, intellect, and benevolent nature. While he is in high demand for romantic movie roles, he doesn't have much faith in women. Despite their shared disbelief in love, Yeo Mi Ran and Nam Gang Ho find themselves engaged in a romantic battle. (Source: MyDramaList)",연애대전,"Batalha De Amor , Batalla de amor , Láska z nenávisti , Love Battle , Love Wars , Yeonaedaejeon , Любовная битва , أحبّ كرهي لك",15+ - Teens 15 or older,49570,8.4,782,80012
12,2023,Couple Scandal Season 2 (2023),12,99999,"Sep 16, 2023 - Dec 2, 2023",,46 min.,[],[],,부부스캔들 시즌2,"Couple Scandal 2 , Bubu Seukaendeul 2 , Bubu Seukaendeul Sijeun 2 , 부부스캔들2",15+ - Teens 15 or older,0,0.0,99999,4
13,2023,Race (2023),12,4721,"May 10, 2023 - Jun 14, 2023",Wednesday,58 min.,"['Business', 'Romance', 'Drama', 'Melodrama']","['Assistant Manager Female Lead', ""Co-workers' Relationship"", ""Childhood Friends' Relationship"", 'Workplace Setting', 'Office Setting', 'Senior-Junior Relationship', 'Bartender Supporting Character', 'Teenager Supporting Character', 'Company President (CEO) Supporting Character', 'Company President (CEO) Male Lead']","Office politics take center stage for marketer Park Yun Jo, whose lack of an academic background won’t deter her dedication to her work, and the smart and just Ryu Jae Min, who lacks any expectations towards their company. (Source: Korean = Naver || Translation = MyDramaList)",레이스,"Due contro tutti , Reiseu , Vencer na Vida , Závod",Not Yet Rated,840,7.2,9824,3940
14,2023,Boyhood (2023),10,1150,"Nov 24, 2023 - Dec 22, 2023",Friday,60 min.,"['Action', 'Thriller', 'Comedy', 'Youth']","['Stolen Identity', 'Violence', 'Double Identity', 'School Bullying', 'Friendship', 'High School', '1980s', 'Gang', 'Web Series', 'Character Development']","Set in the backdrop of the mid-to-late 1980s, the drama tells the story of students at an agricultural high school in Chungcheong Province. Jang Byung Tae is a small and weak boy living in Onyang in South Chungcheong Province. He is at the bottom of the school’s social ladder so he transfers to the neighboring Buyeo Agricultural High School. There, he faces an unexpected incident that becomes a turning point in his life. (Source: Soompi)",소년시대,"Boys' Generation , Crouching Tiger, Hidden Dragon , Once Upon a Boyhood , Sonyeonsidae",Not Yet Rated,7389,8.5,635,21959
15,2023,Divorce Attorney Shin (2023),12,1592,"Mar 4, 2023 - Apr 9, 2023","Saturday, Sunday",1 hr. 7 min.,"['Law', 'Drama']","['Adapted From A Webtoon', ""Best Friends' Relationship"", 'Lawyer Male Lead', 'Dysfunctional Family', 'Going Through A Divorce', 'Flashback To Past', 'Friendship', 'Law Firm Setting', 'Pianist Male Lead', 'Attorney Male Lead']","Meet Shin Sung Han, a divorce lawyer with a talent for settling even the most complicated cases. His name, which amusingly means ""sacred"" in Korean, seems at odds with the messy situations he has to deal with on a daily basis. But Shin Sung Han finds solace in the company of his two closest friends, Jang Hyung Geun and Jo Jung Sik, who are fellow ""40-year-old youths."" Despite the challenges he faces with his clients, Shin Sung Han continues to excel in his field with his expertise and sensitivity. (Source: Soompi; edited by CK Warrior at MyDramaList) ~~ Adapted from the webtoon “Sacred Divorce” (신성한 이혼).",신성한 이혼,"Adwokat Rozwodowy Shin , Divine Divorce , Il Divorzista , O Advogado de Divórcio , Rozvodový právník Šin , Sacred Divorce , Shin, abogado de divorcios , Sinseonghan Ihon , Священный развод , Шін, адвокат із розлучень , شين: محامي الطلاق",15+ - Teens 15 or older,7564,8.2,1401,16254
16,2023,Those Who Pass Through Gimpo City (2023),3,99999,"Feb 10, 2023 - Mar 17, 2023",,8 min.,['Comedy'],"['Short Length Series', 'Miniseries', 'Web Series']",,김포시 통하는 그들,Gimposi Tonghaneun Geudeul,Not Yet Rated,0,0.0,99999,7
17,2023,The Story of Park's Marriage Contract (2023),12,383,"Nov 24, 2023 - Jan 6, 2024","Friday, Saturday",1 hr. 10 min.,"['Historical', 'Mystery', 'Romance', 'Fantasy']","['Fashion Designer Female Lead', 'Secretary Supporting Character', ""Half-brothers' Relationship"", 'Korean Fashion', 'Fake Marriage', 'Contract Relationship', 'Time Travel', 'Rich Male Lead', 'Adapted From A Web Novel', ""Best Friends' Relationship""]","On her wedding night in the 19th century, Park Yeon U’s husband dies, revealing a long-time heart condition. Devastated, she’s then kidnapped and thrown into a well. When she wakes up, she’s in modern-day Seoul, where a man who looks exactly like her deceased husband saves her. This man, Kang Tae Ha, is a corporate heir with a traumatic past and a heart condition. He avoids relationships but agrees to a contract marriage with Yeon U to fulfill his dying grandfather’s wish to see him married. (Source MyDramaList) ~~ Adapted from the web novel ""The Story of Park's Marriage Contract"" (열녀박씨 계약결혼뎐) written by Kim Neo Ul (김너울) and illustrated by B.",열녀박씨 계약결혼뎐,"A História do Contrato de Casamento de Park , Lady Virtue's Contract Marriage , Le mariage contracté par Park , Park's Contract Marriage Story , The Tale of Park Yeon Woo , The Tale of the Contract Marriage of the Yeolnyeo Park Clan , The Virtuous Woman Park Got Married by Contract , Yeolnyeo Bakssi Gyeyak Gyeolhondyeon , История контрактного брака Парка , Шлюб за контрактом пані Пак , قصة عقد زواج بارك",15+ - Teens 15 or older,24212,8.2,1384,50457
18,2023,Youth on the Road (2023),3,99999,"Nov 16, 2023 - Nov 30, 2023",Thursday,10 min.,['Comedy'],"['Short Length Series', 'Miniseries', 'Web Series', 'Friendship']","“We’ll help you to celebrate your 100-day anniversary!” But... you don’t even know your girlfriend’s face?! The trio's wanderings in Miryang for his first love! ""Will I be able to find the girlfriend I dreamed of?"" (Source: Korean = 콬TV YouTube || Translation = MyDramaList)",청춘유랑단,"Cheongchun Yurangdan , Youth Wandering Group",Not Yet Rated,7,6.8,99999,91
19,2023,Love Tractor (2023),8,879,"Jun 7, 2023 - Jun 21, 2023",Wednesday,25 min.,"['Comedy', 'Romance', 'Life']","['Countryside Setting', 'Gay Male Lead', 'Nice Male Lead', 'Innocent Male Lead', 'Farmer Male Lead', 'Cheerful Male Lead', 'Gay Romance', 'Calm Male Lead', 'Adapted From A Webtoon', 'LGBTQ+']","Seon Yul, a temporarily relocated city man, meets Ye Chan, a rural man who adores the countryside. Seon Yul comes to the countryside to experience life knowing nothing about farming and Ye Chan appears before him. As Seon Yul learns to adapt to rural living and engage in farming activities, he becomes increasingly attracted to Ye Chan's sincerity and enthusiasm. Together, the two embark on a chaotic and romantic countryside journey of healing and love. (Source: iQIYI) ~~ Adapted from the webtoon ""Love Tractor"" (트랙터는 사랑을 싣고) written by Hmm Yong Yong (흠념뇸) and illustrated by AngryMonster (앵몬).",트랙터는 사랑을 싣고,"A Tractor Loaded with Love , Teuraegteoneun Sarangeul Sidgo , Tractor Full of Love",13+ - Teens 13 or older,15527,7.8,4012,27383
20,2023,We Only See Each Other at Night (2023),12,99999,"Jan 16, 2023 - Apr 16, 2023",,8 min.,"['Romance', 'Drama']","['Short Length Series', 'Web Series']",,밤에만 보는 사이,"Bameman Boneun Sai , I Only See You at Night , Only Seeing Each Other at Night",Not Yet Rated,14,6.4,35579,194
21,2023,Twinkling Watermelon (2023),16,18,"Sep 25, 2023 - Nov 14, 2023","Monday, Tuesday",1 hr. 10 min.,"['Romance', 'Youth', 'Drama', 'Fantasy']","['Time Travel', 'Child From The Future', 'Deafness', 'Sign Language', 'Father-Son Relationship', '1990s', 'Music', 'Coming Of Age', 'Friendship', 'Comedy']","In 2023, high school student Eun Gyeol, a CODA with a passion for music, leads a double life as a model pupil by day and a guitarist by night. When he discovers a mysterious music store, he's unexpectedly transported back to 1995, where he meets his father, Ha I Chan, as a high schooler. I Chan doesn't recognize him and is infatuated with a cellist, Se Gyeong, not Eun Gyeol's mother, Cheong A. To set things right, Eun Gyeol joins a band led by I Chan, hoping to reunite his future parents and return to the present. (Source: MyDramaList)",반짝이는 워터멜론,"Banjjagineun Woteomellon , Shining Watermelon , Sparkling Watermelon",15+ - Teens 15 or older,104265,9.2,23,208093
22,2023,Last Taxi (2023),5,99999,"Apr 26, 2023 - May 3, 2023",Wednesday,10 min.,"['Drama', 'Sci-Fi', 'Supernatural']","['Short Length Series', 'Supernatural Being', 'Future', 'Miniseries', 'Artificial Intelligence', 'Robot', 'Web Series', 'Ghost']","In an increasingly personalized and harsh world, when humans cannot comfort humans, will there be a day when they get comfort through artificial intelligence? Artificial intelligence (AI) that cannot feel human emotions and a ghost whose life as a human has ended, meet and talk about the life of humans. (Source: HanCinema)",라스트 택시,"Raseuteu Taeksi , 라스트택시",15+ - Teens 15 or older,0,0.0,99999,175
23,2023,That Is How We Are (2023),5,99999,"May 31, 2023 - Jul 5, 2023",,8 min.,"['Romance', 'Drama']","['Short Length Series', 'Miniseries', 'Web Series']",,그렇게 우리는,Geureohge Urineun,Not Yet Rated,0,0.0,99999,6
24,2023,Live Your Own Life (2023),51,3666,"Sep 16, 2023 - Mar 17, 2024","Saturday, Sunday",1 hr. 5 min.,"['Romance', 'Family', 'Melodrama']","['Irresponsible Parent', 'Selfish Sibling', 'Starting Over', 'Healthy Mains’ Relationship', 'Supportive Male Lead', 'Dysfunctional Family', 'Bantering Relationship', 'Birth Secret', 'Multiple Couples', 'Slow Burn Romance']","Hyo Sim, a dedicated personal trainer at TS Fitness, is burdened by her family's demands. As the only daughter among four siblings, she handles their problems while receiving little support, even from her mother. When meticulous new gym member Kang Tae Ho enters her life, he inspires her to reclaim control and pursue her own happiness. (Source: MyDramaList)",효심이네 각자도생,"Hyo Shim’s Independent Life , Hyosimine Gakjadosaeng , Separate Lives at Hyosim's , Viva Sua Própria Vida",15+ - Teens 15 or older,1229,7.2,9095,5689
25,2023,A Time Called You (2023),12,189,"Sep 8, 2023",Friday,60 min.,"['Thriller', 'Mystery', 'Romance', 'Fantasy']","['Time Travel', 'Doppelganger', 'Transmigration', 'Butterfly Effect', 'Nice Male Lead', 'Time Altering', 'Time Loop', 'Friends To Lovers', 'First Love', 'Unrequited Love']","Han Jun Hee's boyfriend Koo Yeon Jun died one year ago. She still hasn't gotten over his death and misses him a lot. One day, she somehow travels back in time to the year 1998 and finds herself as high school student Kwon Min Joo. There, she meets high school student Nam Si Heon. She is surprised to see how much Nam Si Heon resembles her late boyfriend Koo Yeon Jun. Nam Si Heon is outgoing and attractive; girls adore him. His best friend Jung In Kyu develops a crush on Kwon Min Joo. (Source: AsianWiki; edited by MyDramaList)",너의 시간 속으로,"Into Your Time , Naegero Wajwo , Neoui Sigan Sokeuro , Please Come to Me , Sang Gyeon Ni , Sanggyeonni , Someday or One Day , 내게로 와줘 , 상견니",15+ - Teens 15 or older,37739,8.4,919,78426
26,2023,KBS Drama Special 2023,10,15344,"Oct 14, 2023 - Dec 16, 2023",Saturday,1 hr. 7 min.,"['Romance', 'Drama']","[""Childhood Friends' Relationship"", ""Best Friends' Relationship"", 'Gay Male Lead', 'Secret Crush', 'Anthology', 'LGBTQ+', 'Joseon Dynasty', 'Friendship', 'Unrequited Love', 'Love Triangle']","Story 1: ""No Path Back"" (극야) Director: Jang Min Seok (장민석) | Screenwriter: Choi Ja Won (최자원) Story 2: ""Half Lies"" (반쪽짜리 거짓말) Director: Lee Hyung Kyung (이현경) | Screenwriter: Yoon Tae Woo (윤태우) Story 3: ""Shoot for Love"" (도현의 고백) Director: Seo Yong Soo (서용수) | Screenwriter: Jo Il Yeon (조일연) Story 4: ""Anyone Anywhere"" (우리들이 있었다) Director: Ham Young Gul (함영걸) | Screenwriter: Yoon Tae Woo (윤태우) Story 5: ""Dog Days of Summer"" (폭염주의보) Director: Jang Min Seok (장민석) | Screenwriter: Choi Yi Kyung (최이경) Story 6: ""The True Love of Madam"" (마님은 왜 마당쇠에게 고기를 주었나) Director: Ham Young Geol (함영걸) | Screenwriter: Wee Jae Hwa (위재화) Story 7: ""Love Attack"" (고백공격) Director: Lee Hyun Kyung (이현경) | Screenwriter: Choi Yi Kyung (최이경) Story 8: ""Overlap Knife, Knife"" (겹칼) Director: Seo Yong Soo (서용수) | Screenwriter: Kwon Oh Joo (권오주) >> TV Cinema << Story 9: ""Behind the Shadows"" (그림자 뒤에서) Director: Lee Dae Kyung (이대경) | Screenwriter: Park Eun Seo (박은서) Story 10: ""Joseon Chefs"" (수운잡방) Director: Choi Yeon Soo (최연수) | Screenwriter: Jo Soo Yeong (조수영), Kim Ik Hyun (김익현) (Source: MyDramaList, AsianWiki, HanCinema, Wikipedia, NamuWiki)",KBS 드라마 스페셜 2023,"2023 KBS Drama Special , KBS Deurama Seupesyeol 2023 , KBS Drama Special de 2023 , KBS Drama Special Season 14",15+ - Teens 15 or older,53,7.9,15709,499
27,2023,Campus Freshman (2023),10,22929,"Mar 7, 2023 - Apr 5, 2023","Tuesday, Thursday",1 min.,"['Comedy', 'Youth']","['Student Supporting Character', 'Student Female Lead', 'School Setting', 'Young Adult Female Lead', 'Short Length Series', 'University', 'Miniseries', 'Web Series', 'Friendship']","Hyper-realistic empathy drama in which a freshman, Yeo Joo, in the design department of the 23rd class travels through campus with various 'concepts' to live her new life. (Source: Korean = Naver || Translation = MyDramaList)",캠퍼스 갓생러,"Campus Gatsaengreo , Kaempeoseu Gatsaengreo",Not Yet Rated,13,6.3,36382,217
28,2023,A Breeze of Love (2023),8,891,"Nov 10, 2023",Friday,18 min.,"['Romance', 'Sports']","['High School Crush', 'Gay Romance', 'Insomnia', 'Meet Again', 'Flashback To Past', 'University', 'Basketball', 'Basketball Player Male Lead', 'Athlete Male Lead', 'Gay Male Lead']","Do Hyeon, captain of the basketball team, is preparing for the championship when team manager Hye In brings in Dong Uk, his first love, to replace an injured player. They reconnect after years apart, having shared a past in high school. After a bet in a game, Dong Uk wins and suggests they live together. Though hesitant, Do Hyeon agrees, and as they spend time together, they begin to rebuild their relationship. (Source: MyDramaList) ~~ Adapted from the webtoon ""Weather Forecast Love"" (일기예보적연애) written by Gwendolyn (그웬돌린) and illustrated by Samyoung (삼영).",일기예보적연애,"Ilgiyebojeokyeonae , Weather Forecast Love",13+ - Teens 13 or older,15442,7.7,4294,27273
29,2023,Super Junior: The Last Man Standing (2023),2,12739,"Jan 18, 2023",Wednesday,50 min.,"['Music', 'Documentary']","['Pop Music', 'Interview', 'K-Pop', 'Miniseries', 'Super Junior']","It captures the story of Super Junior's birth and debut, from the intense trainee days through the beginning of the large project group 'Super Junior 05' that has never been seen before to today. In addition, the members of Super Junior, who are heading towards the 20th anniversary of their debut, will honestly reveal their true and inner feelings that they have never brought out to the world, revealing their days of growing up together in joy, pain, happiness, and despair. In particular, through the growth story of Super Junior, the global representative of Korean idols, both in name and reality, you can get a glimpse of the K-Pop industry. (Source: HanCinema)",슈퍼주니어: 더 라스트 맨 스탠딩,"Syupeojunieo: Deo Raseuteu Maen Seutaending , The Last Man Standing",13+ - Teens 13 or older,323,8.3,1313,714
30,2023,Soundtrack #2 (2023),6,1617,"Dec 6, 2023 - Dec 20, 2023",Wednesday,45 min.,"['Music', 'Romance', 'Drama']","['Ex-couple Relationship', 'Musician Female Lead', 'Company President (CEO) Male Lead', 'Meet Again', 'Second Chance Romance', 'Separated Lovers', 'Ex Comes Back', 'Passionate Female Lead', 'Tinnitus', ""Bickering Mains' Relationship""]","Ji Soo Ho, a young CEO, and Do Hyun Seo, a piano instructor who gave up her dreams, reconnect after six years. They begin piano lessons for personal reasons, while talented musician Kei joins Soo Ho's collaborative project, with Hyun Seo as a fellow collaborator. Tension arises as Soo Ho invites them to work at his house. As Soo Ho learns the reason Hyun Seo left him, Hyun Seo worries about his health, and Kei openly expresses his feelings for her. The two embark on a rocky romantic journey—will history repeat itself? (Source: MyDramaList)",사운드트랙#2,"Saundeuteuraek #2 , Soundtrack No. 2 , Soundtrack Number Two , Soundtrack Season 2 , Trilha Sonora #2 , Саундтрек №2",13+ - Teens 13 or older,6528,7.6,5837,15916
31,2023,Fling (2023),2,99999,"Sep 26, 2023 - Oct 27, 2023",,11 min.,['Drama'],"['Short Length Series', 'Miniseries', 'Web Series']",,플링,Peulring,Not Yet Rated,0,0.0,99999,13
32,2023,Delivery Man (2023),12,1600,"Mar 1, 2023 - Apr 6, 2023","Wednesday, Thursday",1 hr. 10 min.,"['Mystery', 'Comedy', 'Romance', 'Supernatural']","['Taxi Setting', 'Taxi Driver Male Lead', 'Ghost Female Lead', 'Ghost', 'Older Woman/Younger Man', 'Death', 'Ghost-seeing Male Lead', 'Amnesia', 'Investigation', 'Death Of A Mother']","Seo Young Min is a taxi driver who ends up with an unusual clientele - ghosts. Strangely, he finds himself exclusively ferrying these otherworldly passengers and granting their wishes. One day, Kang Ji Hyun boards Seo Young Min's taxi, but with a catch: she has no recollection of her past life and is unable to leave the vehicle. She takes it upon herself to become Seo Young Min's taxi's sales manager. Together, Seo Young Min and Kang Ji Hyun use the taxi to fulfill the wishes of various ghosts, even taking on the task of tracking down a serial killer. With the assistance of Do Kyu Jin, a handsome and diligent ER doctor, they try to prevent sinister events from occurring in the hospital. (Source: CK Warrior at MyDramaList)",딜리버리맨,"Dillibeolimaen , Entregador , Курьер",Not Yet Rated,5673,7.8,3636,16200
33,2023,Snow White and the Water Travel Agency (2023),5,99999,"May 19, 2023 - Jun 16, 2023",Friday,10 min.,"['Romance', 'Drama']","['Short Length Series', 'Miniseries', 'Web Series']",,백설공주와 수상헌 여행사,Baekseolgongjuwa Susangheon Yeohaengsa,Not Yet Rated,0,0.0,99999,10
